customer_id,first_name,last_name,gender,age,city,country,signup_date,customer_segment,email
1,Customer1,LN1,Male,68,Chattogram,Bangladesh,2021-01-27,Home Office,customer1@mail.com
2,Customer2,LN2,Female,64,Khulna,Bangladesh,2023-10-11,Consumer,customer2@mail.com
3,Customer3,LN3,Male,64,Chattogram,Bangladesh,2023-12-28,Home Office,customer3@mail.com
4,Customer4,LN4,Male,21,Chattogram,Bangladesh,2023-03-01,Consumer,customer4@mail.com
5,Customer5,LN5,Male,24,Khulna,Bangladesh,2022-02-12,Corporate,customer5@mail.com
6,Customer6,LN6,Female,62,Dhaka,Bangladesh,2024-02-07,Home Office,customer6@mail.com
7,Customer7,LN7,Male,52,Khulna,Bangladesh,2021-03-15,Consumer,customer7@mail.com
8,Customer8,LN8,Male,65,Dhaka,Bangladesh,2022-08-01,Home Office,customer8@mail.com
9,Customer9,LN9,Male,26,Sylhet,Bangladesh,2022-11-11,Home Office,customer9@mail.com
10,Customer10,LN10,Female,25,Sylhet,Bangladesh,2024-07-09,Consumer,customer10@mail.com
11,Customer11,LN11,Male,69,Khulna,Bangladesh,2024-10-23,Corporate,customer11@mail.com
12,Customer12,LN12,Male,62,Sylhet,Bangladesh,2023-02-25,Consumer,customer12@mail.com
13,Customer13,LN13,Male,34,Rajshahi,Bangladesh,2023-04-29,Home Office,customer13@mail.com
14,Customer14,LN14,Male,34,Chattogram,Bangladesh,2023-05-20,Consumer,customer14@mail.com
15,Customer15,LN15,Female,66,Chattogram,Bangladesh,2021-08-25,Home Office,customer15@mail.com
16,Customer16,LN16,Male,50,Dhaka,Bangladesh,2022-12-28,Consumer,customer16@mail.com
17,Customer17,LN17,Female,49,Sylhet,Bangladesh,2024-10-21,Corporate,customer17@mail.com
18,Customer18,LN18,Female,25,Dhaka,Bangladesh,2024-08-02,Corporate,customer18@mail.com
19,Customer19,LN19,Female,36,Chattogram,Bangladesh,2022-01-13,Corporate,customer19@mail.com
20,Customer20,LN20,Male,55,Chattogram,Bangladesh,2022-10-23,Corporate,customer20@mail.com
21,Customer21,LN21,Female,20,Sylhet,Bangladesh,2023-04-10,Consumer,customer21@mail.com
22,Customer22,LN22,Male,22,Rajshahi,Bangladesh,2023-06-25,Corporate,customer22@mail.com
23,Customer23,LN23,Female,30,Rajshahi,Bangladesh,2022-01-11,Consumer,customer23@mail.com
24,Customer24,LN24,Female,64,Sylhet,Bangladesh,2022-09-11,Home Office,customer24@mail.com
25,Customer25,LN25,Female,63,Sylhet,Bangladesh,2022-10-15,Home Office,customer25@mail.com
26,Customer26,LN26,Female,48,Dhaka,Bangladesh,2024-01-05,Home Office,customer26@mail.com
27,Customer27,LN27,Female,33,Sylhet,Bangladesh,2023-10-30,Corporate,customer27@mail.com
28,Customer28,LN28,Female,67,Rajshahi,Bangladesh,2021-07-15,Corporate,customer28@mail.com
29,Customer29,LN29,Female,49,Sylhet,Bangladesh,2023-03-18,Corporate,customer29@mail.com
30,Customer30,LN30,Female,39,Dhaka,Bangladesh,2023-06-12,Home Office,customer30@mail.com
31,Customer31,LN31,Male,46,Dhaka,Bangladesh,2024-08-06,Home Office,customer31@mail.com
32,Customer32,LN32,Male,39,Dhaka,Bangladesh,2023-12-21,Home Office,customer32@mail.com
33,Customer33,LN33,Female,60,Dhaka,Bangladesh,2023-07-26,Home Office,customer33@mail.com
34,Customer34,LN34,Female,20,Khulna,Bangladesh,2024-11-13,Consumer,customer34@mail.com
35,Customer35,LN35,Female,27,Sylhet,Bangladesh,2023-04-27,Consumer,customer35@mail.com
36,Customer36,LN36,Male,59,Chattogram,Bangladesh,2023-03-29,Corporate,customer36@mail.com
37,Customer37,LN37,Female,38,Sylhet,Bangladesh,2022-07-18,Corporate,customer37@mail.com
38,Customer38,LN38,Male,33,Khulna,Bangladesh,2022-09-26,Home Office,customer38@mail.com
39,Customer39,LN39,Male,29,Dhaka,Bangladesh,2022-11-10,Consumer,customer39@mail.com
40,Customer40,LN40,Male,19,Khulna,Bangladesh,2023-10-15,Consumer,customer40@mail.com
41,Customer41,LN41,Male,58,Rajshahi,Bangladesh,2021-01-08,Corporate,customer41@mail.com
42,Customer42,LN42,Male,41,Rajshahi,Bangladesh,2024-10-24,Consumer,customer42@mail.com
43,Customer43,LN43,Female,52,Sylhet,Bangladesh,2023-12-05,Corporate,customer43@mail.com
44,Customer44,LN44,Female,47,Sylhet,Bangladesh,2021-12-10,Home Office,customer44@mail.com
45,Customer45,LN45,Female,47,Chattogram,Bangladesh,2023-03-07,Home Office,customer45@mail.com
46,Customer46,LN46,Female,64,Chattogram,Bangladesh,2024-10-30,Corporate,customer46@mail.com
47,Customer47,LN47,Female,52,Rajshahi,Bangladesh,2023-11-17,Home Office,customer47@mail.com
48,Customer48,LN48,Male,36,Dhaka,Bangladesh,2024-05-01,Home Office,customer48@mail.com
49,Customer49,LN49,Female,67,Khulna,Bangladesh,2023-04-29,Consumer,customer49@mail.com
50,Customer50,LN50,Female,25,Chattogram,Bangladesh,2024-10-12,Consumer,customer50@mail.com
51,Customer51,LN51,Male,43,Chattogram,Bangladesh,2021-03-03,Consumer,customer51@mail.com
52,Customer52,LN52,Female,66,Dhaka,Bangladesh,2023-12-22,Consumer,customer52@mail.com
53,Customer53,LN53,Male,57,Dhaka,Bangladesh,2022-02-26,Consumer,customer53@mail.com
54,Customer54,LN54,Female,24,Sylhet,Bangladesh,2022-09-25,Corporate,customer54@mail.com
55,Customer55,LN55,Male,47,Khulna,Bangladesh,2023-03-03,Corporate,customer55@mail.com
56,Customer56,LN56,Female,24,Dhaka,Bangladesh,2022-07-05,Consumer,customer56@mail.com
57,Customer57,LN57,Female,20,Chattogram,Bangladesh,2024-11-04,Home Office,customer57@mail.com
58,Customer58,LN58,Male,18,Chattogram,Bangladesh,2024-07-24,Home Office,customer58@mail.com
59,Customer59,LN59,Male,53,Rajshahi,Bangladesh,2022-08-29,Corporate,customer59@mail.com
60,Customer60,LN60,Male,42,Dhaka,Bangladesh,2024-12-25,Corporate,customer60@mail.com
61,Customer61,LN61,Male,54,Sylhet,Bangladesh,2024-02-13,Corporate,customer61@mail.com
62,Customer62,LN62,Male,18,Khulna,Bangladesh,2024-02-19,Home Office,customer62@mail.com
63,Customer63,LN63,Male,32,Sylhet,Bangladesh,2022-06-09,Corporate,customer63@mail.com
64,Customer64,LN64,Male,54,Chattogram,Bangladesh,2023-06-18,Home Office,customer64@mail.com
65,Customer65,LN65,Male,30,Sylhet,Bangladesh,2024-12-10,Corporate,customer65@mail.com
66,Customer66,LN66,Female,57,Chattogram,Bangladesh,2021-06-12,Home Office,customer66@mail.com
67,Customer67,LN67,Female,25,Chattogram,Bangladesh,2023-02-26,Corporate,customer67@mail.com
68,Customer68,LN68,Male,22,Chattogram,Bangladesh,2023-06-29,Corporate,customer68@mail.com
69,Customer69,LN69,Female,26,Chattogram,Bangladesh,2023-09-09,Home Office,customer69@mail.com
